Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 0hr_minus_rep1	Peptides 0hr_minus_rep2	Peptides 0hr_minus_rep3	Peptides 0hr_plus_rep1	Peptides 0hr_plus_rep2	Peptides 0hr_plus_rep3	Peptides 1hr_minus_rep1	Peptides 1hr_minus_rep2	Peptides 1hr_minus_rep3	Peptides 1hr_plus_rep1	Peptides 1hr_plus_rep2	Peptides 1hr_plus_rep3	Peptides 3hr_minus_rep1	Peptides 3hr_minus_rep2	Peptides 3hr_minus_rep3	Peptides 3hr_plus_rep1	Peptides 3hr_plus_rep2	Peptides 3hr_plus_rep3	Peptides no4SU_minus_1	Peptides no4SU_minus_2	Peptides no4SU_plus_1	Peptides no4SU_plus_2	Razor + unique peptides 0hr_minus_rep1	Razor + unique peptides 0hr_minus_rep2	Razor + unique peptides 0hr_minus_rep3	Razor + unique peptides 0hr_plus_rep1	Razor + unique peptides 0hr_plus_rep2	Razor + unique peptides 0hr_plus_rep3	Razor + unique peptides 1hr_minus_rep1	Razor + unique peptides 1hr_minus_rep2	Razor + unique peptides 1hr_minus_rep3	Razor + unique peptides 1hr_plus_rep1	Razor + unique peptides 1hr_plus_rep2	Razor + unique peptides 1hr_plus_rep3	Razor + unique peptides 3hr_minus_rep1	Razor + unique peptides 3hr_minus_rep2	Razor + unique peptides 3hr_minus_rep3	Razor + unique peptides 3hr_plus_rep1	Razor + unique peptides 3hr_plus_rep2	Razor + unique peptides 3hr_plus_rep3	Razor + unique peptides no4SU_minus_1	Razor + unique peptides no4SU_minus_2	Razor + unique peptides no4SU_plus_1	Razor + unique peptides no4SU_plus_2	Unique peptides 0hr_minus_rep1	Unique peptides 0hr_minus_rep2	Unique peptides 0hr_minus_rep3	Unique peptides 0hr_plus_rep1	Unique peptides 0hr_plus_rep2	Unique peptides 0hr_plus_rep3	Unique peptides 1hr_minus_rep1	Unique peptides 1hr_minus_rep2	Unique peptides 1hr_minus_rep3	Unique peptides 1hr_plus_rep1	Unique peptides 1hr_plus_rep2	Unique peptides 1hr_plus_rep3	Unique peptides 3hr_minus_rep1	Unique peptides 3hr_minus_rep2	Unique peptides 3hr_minus_rep3	Unique peptides 3hr_plus_rep1	Unique peptides 3hr_plus_rep2	Unique peptides 3hr_plus_rep3	Unique peptides no4SU_minus_1	Unique peptides no4SU_minus_2	Unique peptides no4SU_plus_1	Unique peptides no4SU_plus_2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 0hr_minus_rep1	Identification type 0hr_minus_rep2	Identification type 0hr_minus_rep3	Identification type 0hr_plus_rep1	Identification type 0hr_plus_rep2	Identification type 0hr_plus_rep3	Identification type 1hr_minus_rep1	Identification type 1hr_minus_rep2	Identification type 1hr_minus_rep3	Identification type 1hr_plus_rep1	Identification type 1hr_plus_rep2	Identification type 1hr_plus_rep3	Identification type 3hr_minus_rep1	Identification type 3hr_minus_rep2	Identification type 3hr_minus_rep3	Identification type 3hr_plus_rep1	Identification type 3hr_plus_rep2	Identification type 3hr_plus_rep3	Identification type no4SU_minus_1	Identification type no4SU_minus_2	Identification type no4SU_plus_1	Identification type no4SU_plus_2	Sequence coverage 0hr_minus_rep1 [%]	Sequence coverage 0hr_minus_rep2 [%]	Sequence coverage 0hr_minus_rep3 [%]	Sequence coverage 0hr_plus_rep1 [%]	Sequence coverage 0hr_plus_rep2 [%]	Sequence coverage 0hr_plus_rep3 [%]	Sequence coverage 1hr_minus_rep1 [%]	Sequence coverage 1hr_minus_rep2 [%]	Sequence coverage 1hr_minus_rep3 [%]	Sequence coverage 1hr_plus_rep1 [%]	Sequence coverage 1hr_plus_rep2 [%]	Sequence coverage 1hr_plus_rep3 [%]	Sequence coverage 3hr_minus_rep1 [%]	Sequence coverage 3hr_minus_rep2 [%]	Sequence coverage 3hr_minus_rep3 [%]	Sequence coverage 3hr_plus_rep1 [%]	Sequence coverage 3hr_plus_rep2 [%]	Sequence coverage 3hr_plus_rep3 [%]	Sequence coverage no4SU_minus_1 [%]	Sequence coverage no4SU_minus_2 [%]	Sequence coverage no4SU_plus_1 [%]	Sequence coverage no4SU_plus_2 [%]	Intensity	Intensity 0hr_minus_rep1	Intensity 0hr_minus_rep2	Intensity 0hr_minus_rep3	Intensity 0hr_plus_rep1	Intensity 0hr_plus_rep2	Intensity 0hr_plus_rep3	Intensity 1hr_minus_rep1	Intensity 1hr_minus_rep2	Intensity 1hr_minus_rep3	Intensity 1hr_plus_rep1	Intensity 1hr_plus_rep2	Intensity 1hr_plus_rep3	Intensity 3hr_minus_rep1	Intensity 3hr_minus_rep2	Intensity 3hr_minus_rep3	Intensity 3hr_plus_rep1	Intensity 3hr_plus_rep2	Intensity 3hr_plus_rep3	Intensity no4SU_minus_1	Intensity no4SU_minus_2	Intensity no4SU_plus_1	Intensity no4SU_plus_2	iBAQ	iBAQ 0hr_minus_rep1	iBAQ 0hr_minus_rep2	iBAQ 0hr_minus_rep3	iBAQ 0hr_plus_rep1	iBAQ 0hr_plus_rep2	iBAQ 0hr_plus_rep3	iBAQ 1hr_minus_rep1	iBAQ 1hr_minus_rep2	iBAQ 1hr_minus_rep3	iBAQ 1hr_plus_rep1	iBAQ 1hr_plus_rep2	iBAQ 1hr_plus_rep3	iBAQ 3hr_minus_rep1	iBAQ 3hr_minus_rep2	iBAQ 3hr_minus_rep3	iBAQ 3hr_plus_rep1	iBAQ 3hr_plus_rep2	iBAQ 3hr_plus_rep3	iBAQ no4SU_minus_1	iBAQ no4SU_minus_2	iBAQ no4SU_plus_1	iBAQ no4SU_plus_2	LFQ intensity 0hr_minus_rep1	LFQ intensity 0hr_minus_rep2	LFQ intensity 0hr_minus_rep3	LFQ intensity 0hr_plus_rep1	LFQ intensity 0hr_plus_rep2	LFQ intensity 0hr_plus_rep3	LFQ intensity 1hr_minus_rep1	LFQ intensity 1hr_minus_rep2	LFQ intensity 1hr_minus_rep3	LFQ intensity 1hr_plus_rep1	LFQ intensity 1hr_plus_rep2	LFQ intensity 1hr_plus_rep3	LFQ intensity 3hr_minus_rep1	LFQ intensity 3hr_minus_rep2	LFQ intensity 3hr_minus_rep3	LFQ intensity 3hr_plus_rep1	LFQ intensity 3hr_plus_rep2	LFQ intensity 3hr_plus_rep3	LFQ intensity no4SU_minus_1	LFQ intensity no4SU_minus_2	LFQ intensity no4SU_plus_1	LFQ intensity no4SU_plus_2	MS/MS count 0hr_minus_rep1	MS/MS count 0hr_minus_rep2	MS/MS count 0hr_minus_rep3	MS/MS count 0hr_plus_rep1	MS/MS count 0hr_plus_rep2	MS/MS count 0hr_plus_rep3	MS/MS count 1hr_minus_rep1	MS/MS count 1hr_minus_rep2	MS/MS count 1hr_minus_rep3	MS/MS count 1hr_plus_rep1	MS/MS count 1hr_plus_rep2	MS/MS count 1hr_plus_rep3	MS/MS count 3hr_minus_rep1	MS/MS count 3hr_minus_rep2	MS/MS count 3hr_minus_rep3	MS/MS count 3hr_plus_rep1	MS/MS count 3hr_plus_rep2	MS/MS count 3hr_plus_rep3	MS/MS count no4SU_minus_1	MS/MS count no4SU_minus_2	MS/MS count no4SU_plus_1	MS/MS count no4SU_plus_2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
273	6371	3820	8470	2009	2835	2	6	6	6	2	0	2	3	2	0	6	2	1	5	5	0	4	4	1	5	4	0	0	0	0	0	2	0	2	3	2	0	6	2	1	5	5	0	4	4	1	5	4	0	0	0	0	0	2	0	2	3	2	0	6	2	1	5	5	0	4	4	1	5	4	0	0	0	0	0	6	7	7	193	1740	4624	0	10	5908	4237	1819	7392	9712	9391	9352	1114	4312	9096	3406	8329	3305	4271	7295	3716	8282	3339	3119	3783	9632	6405	2	0	2	3	2	0	6	2	1	6	6	0	4	5	1	6	4	0	0	0	0	0	55829820	3968851	0	2939990	2023588	2132548	0	9008218	1438571	842537	12395180	5589986	0	6426123	3680330	7878569	7525079	5711033	0	0	0	0	0	1132600	58186	0	136934	27835	121266	0	15762	204046	114607	34186	253021	0	78231	139573	58953	232959	66032	0	0	0	0	0	759608	0	594897	729645	1093313	0	1599717	2163871	0	2360371	1148876	0	1030786	534308	0	1041439	838206	0	0	0	0	0	1	0	1	1	1	0	5	0	0	6	1	0	2	2	0	3	2	0	0	0	0	0	24	5516	4109	1509	0	9172	68	9083	9809	5126	703	6096	2748
7932	9954	946	950	3261	4958	1	17	17	17	2	2	1	1	4	1	11	9	0	11	12	1	8	11	0	9	10	1	0	1	0	0	2	2	1	1	4	1	11	9	0	11	12	1	8	11	0	9	10	1	0	1	0	0	2	2	1	1	4	1	11	9	0	11	12	1	8	11	0	9	10	1	0	1	0	0	18	18	18	164	1476	5839	0	30	9152	1245	4954	7124	7311	6290	2833	8213	9019	7245	6034	7787	8088	8083	4930	7697	6073	8194	3025	1734	8183	2416	2	2	1	1	3	1	11	9	0	12	12	1	9	11	0	10	9	1	0	1	0	0	295161339	6521734	4044333	7903982	3641802	9851728	1670411	21787560	26181675	0	38143763	47513740	4653059	15497523	34009274	0	23064131	43843349	1107410	0	1579820	0	0	4205087	63987	90851	84168	42442	127912	16866	246839	299003	0	517382	747827	97721	235228	373069	0	259186	689853	43259	0	23311	0	0	2486921	0	0	0	2273894	0	4958894	8505481	0	6968983	5483138	0	3392646	7481451	0	4230045	7007628	0	0	0	0	0	0	0	0	0	1	0	10	2	0	10	6	1	4	7	0	5	7	0	0	0	0	0	53	8037	5435	9140	1	2619	4534	4178	3053	6043	313	9626	7842
9341	6393	574	473	9628	6736	2	3	3	3	0	0	0	0	0	0	3	3	0	3	3	0	0	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3	3	0	0	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3	3	0	0	3	0	2	3	0	0	0	0	0	15	15	15	44	401	4832	0	20	1355	1131	2989	1656	9828	7977	9329	1144	6910	8246	8632	8277	1779	7970	1463	8467	1601	6404	2675	2601	8962	5051	0	0	0	0	0	0	15	15	0	15	15	0	0	15	0	11	15	0	0	0	0	0	90346544	0	0	0	0	0	0	14561720	13820596	0	16398398	11197650	0	0	13043494	0	0	19840163	0	0	0	0	0	5415283	0	0	0	0	0	0	976475	667860	0	832713	624250	0	0	712909	0	0	1372945	0	0	0	0	0	0	0	0	0	0	0	2121759	5936603	0	3019066	2415732	0	0	3465685	0	0	3440152	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5	3	0	0	3	0	2	2	0	0	0	0	0	21	4106	4542	5155	2	4277	1422	5633	2594	4561	2790	618	519
9077	835	2731	7988	3588	7196	1	3	3	2	0	0	0	2	0	1	2	2	0	1	2	1	1	1	3	2	2	2	0	0	0	0	0	0	0	2	0	1	2	2	0	1	2	1	1	1	3	2	2	2	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	2	1	1	1	0	0	0	0	5	5	4	92	826	7718	0	6	1260	8208	414	2701	8428	2168	4994	6595	6958	5393	3891	272	8633	633	4796	1788	2858	7410	3952	7148	2408	99	0	0	0	4	0	2	4	3	0	2	3	2	2	2	5	4	4	3	0	0	0	0	22176632	0	0	0	934322	0	786079	2439947	2037338	0	1750270	3895280	1578474	2811524	1533056	1619371	4530668	4030474	316224	0	0	0	0	109521	0	0	0	74683	0	74760	74010	107209	0	61316	146127	102475	24921	59779	243939	95105	150427	44371	0	0	0	0	0	0	0	533315	0	0	365224	698235	0	0	374168	0	0	0	366242	0	462390	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	1	2	1	0	0	0	0	0	12	5993	3540	1228	3	849	8434	7772	3171	2526	137	4257	4505
3172	4727	3382	4474	6213	128	7	21	20	3	1	1	2	1	2	1	1	1	0	1	1	11	1	3	2	1	2	21	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	10	0	2	1	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	52	51	12	53	487	4451	0	94	8942	7601	3397	8083	1365	5080	4862	1321	5989	7681	2824	7251	6298	5055	4959	1252	8284	7579	9972	4146	9163	7151	1	1	3	1	3	1	1	1	0	1	1	25	1	5	3	1	3	52	1	0	1	1	330017303	0	0	5347484	0	3746462	0	0	0	0	0	0	73685299	0	6716289	7926779	0	3008089	221403254	0	0	0	0	11122456	0	0	222367	0	1244	0	0	0	0	0	0	2170940	0	209149	58831	0	358132	7265315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9979082	0	0	0	0	0	52818124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	24	0	0	0	0	32	7388	4671	2721	4	3801	2222	1077	9348	7153	5019	4117	8036
771	7744	2622	5492	630	7534	2	5	3	2	2	3	2	2	2	2	2	2	3	2	2	3	2	2	3	2	2	4	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	11	7	5	52	465	7392	0	4	8767	5620	9847	7387	2467	4977	1535	3294	4332	9172	6646	3323	9848	2746	2134	4297	1997	4197	7855	442	1724	5929	3	6	3	3	3	3	3	3	6	3	3	6	3	3	6	3	3	8	2	3	2	3	279038878	6811957	14059890	13160321	4263124	13719381	10673803	6975163	5185762	22872384	7287556	11878225	28613879	10872266	7330608	57175488	4531877	6459456	26023754	0	5419362	0	2596058	8789473	254345	387061	616095	177365	647905	523628	163493	220954	687545	170609	239576	1087393	447861	141341	2153460	61968	396388	1082104	0	152492	0	103876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5810600	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	14	1151	3854	2345	5	9477	6110	3122	2093	8424	3567	4838	6067
915	4441	2802	8528	4217	767	2	17	1	1	5	9	4	7	12	7	7	13	4	5	10	7	6	12	8	6	12	13	14	9	5	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	20	2	2	60	549	8482	0	2	9311	8676	6617	3878	3969	1972	3225	3202	316	8748	8321	6498	1987	7087	4681	5922	3455	7549	2939	7188	539	9049	8	11	7	10	15	10	10	16	7	8	14	10	9	15	10	8	15	16	16	13	8	12	35907047	0	0	0	0	0	0	0	0	0	0	0	4759460	0	0	0	0	0	14330288	0	0	0	0	865639	0	0	0	0	0	0	0	0	0	0	0	375631	0	0	0	0	0	386128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3388296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	7790	6512	677	6	9170	8633	6796	3045	6381	768	572	1672
2612	499	5953	3901	2580	6660	2	11	11	10	6	7	7	6	6	7	5	8	7	5	7	6	6	8	9	5	7	6	6	9	4	6	6	7	7	6	6	7	5	8	7	5	7	6	6	8	9	5	7	6	6	9	4	6	6	6	6	6	5	7	5	7	7	5	6	5	6	7	8	5	6	6	6	9	4	6	55	55	51	24	230	6943	0	323	1087	265	9937	6469	7668	570	9338	9477	2881	2038	5277	4811	5746	4081	4280	4647	1220	2276	92	2346	723	5653	32	35	35	32	35	39	25	37	39	32	35	35	32	37	49	32	35	39	27	47	25	37	405908325730	10602121789	25854370842	20095363505	9740044818	25994193672	21404727708	11596526891	36207581705	15509989568	14135132566	27226717705	18238120219	10060353451	38295505349	23178727946	12248530109	34383955167	19715308711	7356403989	1757952578	2567786671	19739456142	36901761171	963827868	2350342313	1826778713	885363959	2363074906	1945736512	1054371732	3291525142	1409921546	1284863438	2475073307	1658044946	914595710	3481431897	2105551160	1113219180	3125735585	1792225573	668778876	159876555	233458868	1794414599	1254652487	9714635121	1896440985	1300218872	6439033098	4228384268	1598837204	15631425625	1986170477	2348185669	5063570423	2100201138	1397234635	15646832774	2509142375	1841431146	7500952821	4011137637	9896075845	13111752020	5173315217	28100042397	27	55	32	27	50	29	33	77	27	30	40	36	30	109	30	30	90	31	51	19	71	37	961	8269	4802	2413	7	1149	3948	2185	4468	3875	6303	4096	6420
3479	3719	5758	8268	5180	5482	2	4	4	4	3	1	1	2	2	1	2	1	0	2	2	1	1	0	2	1	1	1	0	0	0	0	3	1	1	2	2	1	2	1	0	2	2	1	1	0	2	1	1	1	0	0	0	0	3	1	1	2	2	1	2	1	0	2	2	1	1	0	2	1	1	1	0	0	0	0	44	44	44	15	143	3213	0	4	1130	6625	3343	8945	2153	7452	7188	6160	5872	723	5466	5217	438	5979	3372	5661	9177	9826	527	2945	7304	8449	37	11	11	26	26	11	26	11	0	17	26	11	15	0	26	11	11	11	0	0	0	0	105572050	20779613	196680	6176356	14987235	4746857	2162522	3356965	1511209	0	3862490	1818556	4130946	433437	0	12749448	2779289	2808594	2627617	0	0	0	0	11515512	2334708	16249	514019	1523572	552047	461979	448517	340504	0	572478	352988	797494	70358	0	752135	647665	131340	434350	0	0	0	0	2230497	0	0	2021466	0	0	884408	0	0	0	0	0	0	0	0	860659	0	0	0	0	0	0	3	1	0	2	0	0	2	0	0	2	0	1	0	0	1	1	0	1	0	0	0	0	14	8259	2457	5164	8	1737	8335	4241	8161	5139	3212	5277	6068
582	350	2092	1946	3432	312	4	33	28	10	13	27	14	20	27	16	19	29	15	15	24	18	19	27	25	21	29	26	26	18	8	19	8	23	9	15	22	11	15	24	10	11	20	14	15	22	20	17	24	21	21	13	4	15	4	7	2	7	8	4	6	9	2	5	7	5	6	8	7	8	9	8	7	4	1	7	68	63	33	52	472	1621	0	323	2897	8186	3923	6483	2639	4714	6077	7808	1557	6820	6397	4757	5032	4179	9698	6599	1309	4445	752	5951	2372	9047	26	60	24	45	56	34	43	63	28	32	57	42	45	59	54	50	62	59	55	39	17	50	4255661931	35493167	222688252	112400536	93657459	184844572	60040535	85684353	289201798	67147627	26108995	209991562	183831468	86132263	289416919	660744665	105180508	555581059	600927912	203037760	89718450	5981011	83946570	145646234	1219415	7815709	3806376	3213136	6462571	1949918	3132483	10116364	2113222	916824	7257257	6148600	2914262	9988204	23496560	3783039	19154158	20610540	7013149	3028012	215162	2674272	7408698	68326905	9323064	15694406	38527266	16513627	14312692	96880788	11357216	6901654	39048684	17992280	14563540	77367915	47623945	19959771	90345655	121216658	183585569	227311085	20422521	233361954	3	24	5	11	15	4	9	22	2	3	16	7	13	24	20	13	32	26	36	11	4	6	304	2760	9769	1578	9	2016	2851	3679	3245	1959	8557	651	8205
